,User_id,book_id
0,2,37317
1,2,10966
2,2,22821
3,54,30243
4,54,37415
5,54,21257
6,65,3430
7,65,8047
8,65,28627
9,69,33476
10,69,29602
11,69,31959
12,78,5860
13,78,16514
14,78,15504
15,90,5475
16,90,25131
17,90,15897
18,96,36608
19,96,23086
20,96,25131
21,102,15731
22,102,9054
23,102,33441
24,113,25325
25,113,38722
26,124,38586
27,124,18443
28,124,8026
29,128,7736
30,128,14044
31,128,3463
32,129,37828
33,129,30243
34,129,23680
35,138,4623
36,144,14044
37,148,30243
38,148,37415
39,148,21257
40,149,28814
41,149,8592
42,149,38711
43,153,30243
44,153,6036
45,153,8592
46,159,24259
47,159,33596
48,159,23522
49,166,7551
50,166,8653
51,166,3132
52,168,23938
53,168,11725
54,168,30292
55,170,21153
56,170,23817
57,170,36342
58,174,16744
59,174,23817
60,174,36342
61,199,28099
62,199,22031
63,199,21107
64,200,19284
65,200,21614
66,200,15686
67,201,29937
68,201,15084
69,201,15652
70,202,15143
71,202,17208
72,202,1640
73,208,6833
74,208,3818
75,208,13093
76,212,13142
77,212,6833
78,212,21093
79,229,21833
80,229,23399
81,229,1648
82,252,36849
83,256,18106
84,256,13093
85,256,24669
86,258,19314
87,258,19573
88,258,6581
89,263,24702
90,263,16490
91,263,1171
92,265,22087
93,265,22183
94,265,37432
95,271,7962
96,271,31074
97,274,16123
98,274,14417
99,277,12117
100,277,12604
101,287,37432
102,287,16123
103,287,31500
104,290,12105
105,290,22821
106,290,8294
107,306,18421
108,306,10315
109,306,22020
110,309,34497
111,324,7051
112,324,14133
113,324,19477
114,332,21124
115,332,18106
116,332,4337
117,367,12995
118,375,8764
119,375,7692
120,375,13102
121,399,13225
122,399,14298
123,399,20792
124,401,38290
125,401,9136
126,401,13290
127,404,20184
128,404,8047
129,404,3645
130,405,26549
131,405,31974
132,405,39229
133,406,19605
134,406,16066
135,406,12158
136,409,34117
137,409,23697
138,409,39229
139,411,37373
140,412,14595
141,412,17426
142,412,9669
143,413,30583
144,413,24954
145,413,20102
146,414,37321
147,415,11493
148,415,22229
149,415,24954
150,417,46
151,417,24165
152,417,11493
153,418,37939
154,418,26178
155,418,243
156,423,243
157,424,7447
158,424,16943
159,424,15822
160,426,24011
161,426,11931
162,426,23819
163,428,11493
164,428,14298
165,428,22229
166,430,26223
167,430,5511
168,430,3477
169,433,11493
170,433,14595
171,433,12974
172,437,28577
173,438,37273
174,440,2816
175,440,19712
176,440,12150
177,446,35142
178,449,8410
179,449,17298
180,449,1335
181,451,32598
182,451,26378
183,451,11841
184,457,14263
185,457,14133
186,457,28313
187,460,13961
188,460,2728
189,462,17957
190,462,23054
191,462,90
192,467,32655
193,474,9657
194,474,17300
195,474,17957
196,476,3430
197,476,25131
198,476,30407
199,477,32354
200,477,24965
201,477,9054
202,479,16514
203,479,35502
204,479,3765
205,481,17957
206,481,24283
207,481,9657
208,484,90
209,484,16680
210,484,24283
211,486,17957
212,486,24283
213,486,9657
214,487,13057
215,491,26007
216,491,15481
217,491,21035
218,492,25460
219,493,16587
220,493,1123
221,493,21046
222,501,9657
223,501,17300
224,501,17957
225,502,18964
226,502,8461
227,502,15297
228,504,24283
229,504,15029
230,504,13847
231,505,17957
232,505,15029
233,506,14546
234,506,29616
235,506,767
236,513,15029
237,516,17957
238,516,3630
239,516,90
240,520,6005
241,520,23167
242,520,13961
243,522,24158
244,522,18964
245,522,30788
246,525,90
247,525,15029
248,525,773
249,544,25435
250,563,18106
251,563,25164
252,563,23680
253,571,28242
254,577,4881
255,577,15435
256,577,23548
257,579,15336
258,579,22171
259,579,9624
260,580,26104
261,580,9136
262,580,21799
263,590,804
264,590,79
265,590,9734
266,592,25510
267,592,9734
268,592,17957
269,593,79
270,593,9734
271,593,24283
272,594,24283
273,594,33848
274,594,9657
275,596,17957
276,596,21653
277,596,26276
278,597,35894
279,597,26276
280,597,804
281,604,35256
282,604,24669
283,604,13093
284,605,35981
285,605,31413
286,605,3034
287,607,30424
288,607,34117
289,607,13702
290,608,36790
291,608,14759
292,608,21139
293,610,30424
294,610,34117
295,610,13702
296,616,27099
297,617,23167
298,619,36746
299,623,19693
300,623,12422
301,623,27398
302,632,32943
303,634,15814
304,634,18106
305,634,21124
306,642,28099
307,642,14775
308,642,24669
